"","svspp","NOAA_label","validated_species","genus","subfamily","family","order","class","super_class"
"258",631,"Archosargus probatocephalus","Archosargus probatocephalus","Archosargus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"259",634,"Calamus leucosteus","Calamus leucosteus","Calamus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"260",640,"Lagodon rhomboides","Lagodon rhomboides","Lagodon",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"261",641,"Pagrus sedecim","Pagrus pagrus","Pagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"262",642,"Stenotomus caprinus","Stenotomus caprinus","Stenotomus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"263",650,"Equetus umbrosus","Pareques umbrosus","Pareques",NA,"Sciaenidae","Eupercaria/misc","Teleostei","Osteichthyes"
"264",651,"Larimus fasciatus","Larimus fasciatus","Larimus",NA,"Sciaenidae","Eupercaria/misc","Teleostei","Osteichthyes"
"265",652,"Menticirrhus americanus","Menticirrhus americanus","Menticirrhus",NA,"Sciaenidae","Eupercaria/misc","Teleostei","Osteichthyes"
"266",654,"Sciaenops ocellatus","Sciaenops ocellatus","Sciaenops",NA,"Sciaenidae","Eupercaria/misc","Teleostei","Osteichthyes"
"267",656,"Pseudupeneus maculatus","Pseudupeneus maculatus","Pseudupeneus",NA,"Mullidae","Mulliformes","Teleostei","Osteichthyes"
"268",657,"Upeneus parvus","Upeneus parvus","Upeneus",NA,"Mullidae","Mulliformes","Teleostei","Osteichthyes"
"269",659,"Chaetodipterus faber","Chaetodipterus faber","Chaetodipterus",NA,"Ephippidae","Acanthuriformes","Teleostei","Osteichthyes"
"270",662,"Chaetodon ocellatus","Chaetodon ocellatus","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes"
"271",677,"Halichoeres bivittatus","Halichoeres bivittatus","Halichoeres","Corinae","Labridae","Eupercaria/misc","Teleostei","Osteichthyes"
"272",682,"Lachnolaimus maximus","Lachnolaimus maximus","Lachnolaimus",NA,"Labridae","Eupercaria/misc","Teleostei","Osteichthyes"
"273",694,"Sphyraena borealis","Sphyraena borealis","Sphyraena",NA,"Sphyraenidae","Carangaria/misc","Teleostei","Osteichthyes"
"274",698,"Bembrops gobioides","Bembrops gobioides","Bembrops",NA,"Bembropidae","Perciformes/Bembropoidei","Teleostei","Osteichthyes"
"275",699,"Astroscopus y-graecum","Astroscopus ygraecum","Astroscopus",NA,"Uranoscopidae","Perciformes/Uranoscopoidei","Teleostei","Osteichthyes"
"276",700,"Xiphias gladius","Xiphias gladius","Xiphias",NA,"Xiphiidae","Carangiformes","Teleostei","Osteichthyes"
"277",702,"Auxis thazard","Auxis thazard","Auxis","Scombrinae","Scombridae","Scombriformes","Teleostei","Osteichthyes"
"278",703,"Thunnus alalunga","Thunnus alalunga","Thunnus","Scombrinae","Scombridae","Scombriformes","Teleostei","Osteichthyes"
"279",725,"Xenocephalus egregius","Xenocephalus egregius","Xenocephalus",NA,"Uranoscopidae","Perciformes/Uranoscopoidei","Teleostei","Osteichthyes"
"280",726,"Kathetostoma albigutta","Kathetostoma albigutta","Kathetostoma",NA,"Uranoscopidae","Perciformes/Uranoscopoidei","Teleostei","Osteichthyes"
"281",734,"Ammodytes americanus","Ammodytes americanus","Ammodytes",NA,"Ammodytidae","Perciformes/Uranoscopoidei","Teleostei","Osteichthyes"
"282",735,"Foetorepus agassizi","Foetorepus agassizii","Foetorepus",NA,"Callionymidae","Callionymiformes","Teleostei","Osteichthyes"
"283",738,"Gobiosoma bosc","Gobiosoma bosc","Gobiosoma","Gobiinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes"
"284",744,"Scomberomorus cavalla","Scomberomorus cavalla","Scomberomorus","Scombrinae","Scombridae","Scombriformes","Teleostei","Osteichthyes"
"285",745,"Scomberomorus maculatus","Scomberomorus maculatus","Scomberomorus","Scombrinae","Scombridae","Scombriformes","Teleostei","Osteichthyes"
"286",748,"Ariomma regulus","Ariomma regulus","Ariomma",NA,"Ariommatidae","Scombriformes","Teleostei","Osteichthyes"
"287",751,"Neomerinthe hemingwayi","Neomerinthe hemingwayi","Neomerinthe","Scorpaeninae","Scorpaenidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"288",752,"Pontinus rathbuni","Pontinus rathbuni","Pontinus","Scorpaeninae","Scorpaenidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"289",753,"Scorpaena agassizi","Scorpaena agassizii","Scorpaena","Scorpaeninae","Scorpaenidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"290",755,"Scorpaena calcarata","Scorpaena calcarata","Scorpaena","Scorpaeninae","Scorpaenidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"291",756,"Scorpaena dispar","Scorpaena dispar","Scorpaena","Scorpaeninae","Scorpaenidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"292",760,"Bellator brachychir","Bellator brachychir","Bellator","Prionotinae","Triglidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"293",762,"Bellator militaris","Bellator militaris","Bellator","Prionotinae","Triglidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"294",763,"Peristedion gracile","Peristedion gracile","Peristedion",NA,"Peristediidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"295",764,"Prionotus alatus","Prionotus alatus","Prionotus","Prionotinae","Triglidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"296",765,"Prionotus ophryas","Prionotus ophryas","Prionotus","Prionotinae","Triglidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"297",768,"Prionotus rubio","Prionotus rubio","Prionotus","Prionotinae","Triglidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"298",769,"Prionotus scitulus","Prionotus scitulus","Prionotus","Prionotinae","Triglidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"299",770,"Prionotus tribulus","Prionotus tribulus","Prionotus","Prionotinae","Triglidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"300",775,"Ancylopsetta quadrocellata","Ancylopsetta quadrocellata","Ancylopsetta",NA,"Paralichthyidae","Pleuronectiformes","Teleostei","Osteichthyes"
"301",780,"Citharichthys cornutus","Citharichthys cornutus","Citharichthys",NA,"Cyclopsettidae","Pleuronectiformes","Teleostei","Osteichthyes"
"302",781,"Citharichthys macrops","Citharichthys macrops","Citharichthys",NA,"Cyclopsettidae","Pleuronectiformes","Teleostei","Osteichthyes"
"303",783,"Cyclopsetta fimbriata","Cyclopsetta fimbriata","Cyclopsetta",NA,"Cyclopsettidae","Pleuronectiformes","Teleostei","Osteichthyes"
"304",785,"Etropus crossotus","Etropus crossotus","Etropus",NA,"Cyclopsettidae","Pleuronectiformes","Teleostei","Osteichthyes"
"305",786,"Etropus rimosus","Etropus rimosus","Etropus",NA,"Cyclopsettidae","Pleuronectiformes","Teleostei","Osteichthyes"
"306",788,"Paralichthys albigutta","Paralichthys albigutta","Paralichthys",NA,"Paralichthyidae","Pleuronectiformes","Teleostei","Osteichthyes"
"307",789,"Paralichthys lethostigma","Paralichthys lethostigma","Paralichthys",NA,"Paralichthyidae","Pleuronectiformes","Teleostei","Osteichthyes"
"308",793,"Syacium papillosum","Syacium papillosum","Syacium",NA,"Cyclopsettidae","Pleuronectiformes","Teleostei","Osteichthyes"
"309",796,"Gymnachirus melas","Gymnachirus melas","Gymnachirus",NA,"Achiridae","Pleuronectiformes","Teleostei","Osteichthyes"
"310",797,"Symphurus civitatus","Symphurus civitatum","Symphurus","Symphurinae","Cynoglossidae","Pleuronectiformes","Teleostei","Osteichthyes"
"311",798,"Symphurus diomedianus","Symphurus diomedeanus","Symphurus","Symphurinae","Cynoglossidae","Pleuronectiformes","Teleostei","Osteichthyes"
"312",821,"Symphurus marginatus","Symphurus marginatus","Symphurus","Symphurinae","Cynoglossidae","Pleuronectiformes","Teleostei","Osteichthyes"
"313",824,"Lepidocybium flavobrunneum","Lepidocybium flavobrunneum","Lepidocybium",NA,"Gempylidae","Scombriformes","Teleostei","Osteichthyes"
"314",825,"Symphurus plagiusa","Symphurus plagiusa","Symphurus","Symphurinae","Cynoglossidae","Pleuronectiformes","Teleostei","Osteichthyes"
"315",826,"Symphurus pusillus","Symphurus pusillus","Symphurus","Symphurinae","Cynoglossidae","Pleuronectiformes","Teleostei","Osteichthyes"
"316",827,"Symphurus urospilus","Symphurus urospilus","Symphurus","Symphurinae","Cynoglossidae","Pleuronectiformes","Teleostei","Osteichthyes"
"317",829,"Parahollardia lineata","Parahollardia lineata","Parahollardia","Hollardiinae","Triacanthodidae","Tetraodontiformes","Teleostei","Osteichthyes"
"318",830,"Aluterus heudelotii","Aluterus heudelotii","Aluterus",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes"
"319",831,"Aluterus monoceros","Aluterus monoceros","Aluterus",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes"
"320",832,"Aluterus schoepfi","Aluterus schoepfii","Aluterus",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes"
"321",833,"Aluterus scriptus","Aluterus scriptus","Aluterus",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes"
"322",836,"Monacanthus ciliatus","Monacanthus ciliatus","Monacanthus",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes"
"323",838,"Lactophrys polygonia","Acanthostracion polygonium","Acanthostracion",NA,"Ostraciidae","Tetraodontiformes","Teleostei","Osteichthyes"
"324",843,"Sphoeroides dorsalis","Sphoeroides dorsalis","Sphoeroides","Tetraodontinae","Tetraodontidae","Tetraodontiformes","Teleostei","Osteichthyes"
"325",844,"Sphoeroides nephelus","Sphoeroides nephelus","Sphoeroides","Tetraodontinae","Tetraodontidae","Tetraodontiformes","Teleostei","Osteichthyes"
"326",856,"Argentina striata","Argentina striata","Argentina",NA,"Argentinidae","Argentiniformes","Teleostei","Osteichthyes"
"327",862,"Chaunax stigmaeus","Chaunax stigmaeus","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes"
"328",865,"Engraulis eurystole","Engraulis eurystole","Engraulis","Engraulinae","Engraulidae","Clupeiformes","Teleostei","Osteichthyes"
"329",867,"Laemonema barbatulum","Laemonema barbatulum","Laemonema",NA,"Moridae","Gadiformes","Teleostei","Osteichthyes"
"330",869,"Ophidion selenops","Ophidion selenops","Ophidion","Ophidiinae","Ophidiidae","Ophidiiformes","Teleostei","Osteichthyes"
"331",871,"Prionotus stearnsi","Prionotus stearnsi","Prionotus","Prionotinae","Triglidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"332",874,"Gempylus serpens","Gempylus serpens","Gempylus",NA,"Gempylidae","Scombriformes","Teleostei","Osteichthyes"
"333",876,"Cubiceps pauciradiatus","Cubiceps pauciradiatus","Cubiceps",NA,"Nomeidae","Scombriformes","Teleostei","Osteichthyes"
"334",877,"Seriola fasciata","Seriola fasciata","Seriola","Naucratinae","Carangidae","Carangiformes","Teleostei","Osteichthyes"
"335",880,"Sphoeroides pachygaster","Sphoeroides pachygaster","Sphoeroides","Tetraodontinae","Tetraodontidae","Tetraodontiformes","Teleostei","Osteichthyes"
"336",890,"Anchoa nasuta","Anchoa lyolepis","Anchoa","Engraulinae","Engraulidae","Clupeiformes","Teleostei","Osteichthyes"
"337",891,"Ariomma melanum","Ariomma melana","Ariomma",NA,"Ariommatidae","Scombriformes","Teleostei","Osteichthyes"
"338",894,"Salmo salar","Salmo salar","Salmo","Salmoninae","Salmonidae","Salmoniformes","Teleostei","Osteichthyes"
"339",897,"Lophius gastrophysus","Lophius gastrophysus","Lophius",NA,"Lophiidae","Lophiiformes","Teleostei","Osteichthyes"
"340",899,"Cyttopsis rosea","Cyttopsis rosea","Cyttopsis","Cyttopsinae","Parazenidae","Zeiformes","Teleostei","Osteichthyes"
"341",926,"Alopias superciliosus","Alopias superciliosus","Alopias",NA,"Alopiidae","Lamniformes","Elasmobranchii","Chondrichthyes"
"342",931,"Carcharhinus brevipinna","Carcharhinus brevipinna","Carcharhinus",NA,"Carcharhinidae","Carcharhiniformes","Elasmobranchii","Chondrichthyes"
"343",934,"Carcharhinus signatus","Carcharhinus signatus","Carcharhinus",NA,"Carcharhinidae","Carcharhiniformes","Elasmobranchii","Chondrichthyes"
"344",938,"Sarda orientalis","Sarda orientalis","Sarda","Scombrinae","Scombridae","Scombriformes","Teleostei","Osteichthyes"
"345",5,"Rajiformes",NA,NA,NA,NA,"Rajiformes","Elasmobranchii","Chondrichthyes"
"346",20,"Raja sp",NA,"Raja",NA,"Rajidae","Rajiformes","Elasmobranchii","Chondrichthyes"
"347",30,"Clupeidae",NA,NA,NA,"Clupeidae","Clupeiformes","Teleostei","Osteichthyes"
"348",47,"Chlorophthalmidae",NA,NA,NA,"Chlorophthalmidae","Aulopiformes","Teleostei","Osteichthyes"
"349",56,"Myctophidae",NA,NA,NA,"Myctophidae","Myctophiformes","Teleostei","Osteichthyes"
"350",60,"Anguilliformes",NA,NA,NA,NA,"Anguilliformes","Teleostei","Osteichthyes"
"351",61,"Diaphus sp",NA,"Diaphus","Diaphinae","Myctophidae","Myctophiformes","Teleostei","Osteichthyes"
"352",80,"Gadidae",NA,NA,NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes"
"353",86,"Merluccius sp",NA,"Merluccius",NA,"Merlucciidae","Gadiformes","Teleostei","Osteichthyes"
"354",87,"Urophycis sp",NA,"Urophycis",NA,"Phycidae","Gadiformes","Teleostei","Osteichthyes"
"355",88,"Moridae",NA,NA,NA,"Moridae","Gadiformes","Teleostei","Osteichthyes"
"356",90,"Macrouridae",NA,NA,NA,"Macrouridae","Gadiformes","Teleostei","Osteichthyes"
"357",100,"Pleuronectiformes",NA,NA,NA,NA,"Pleuronectiformes","Teleostei","Osteichthyes"
"358",138,"Apogonidae",NA,NA,NA,"Apogonidae","Kurtiformes","Teleostei","Osteichthyes"
"359",159,"Artediellus sp",NA,"Artediellus",NA,"Cottidae","Perciformes/Cottoidei","Teleostei","Osteichthyes"
"360",160,"Cottidae",NA,NA,NA,"Cottidae","Perciformes/Cottoidei","Teleostei","Osteichthyes"
"361",174,"Triglidae",NA,NA,NA,"Triglidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"362",221,"Symphurus sp",NA,"Symphurus","Symphurinae","Cynoglossidae","Pleuronectiformes","Teleostei","Osteichthyes"
"363",231,"Chlorophthalmus sp",NA,"Chlorophthalmus",NA,"Chlorophthalmidae","Aulopiformes","Teleostei","Osteichthyes"
"364",236,"Vinciguerria sp",NA,"Vinciguerria",NA,"Phosichthyidae","Stomiiformes","Teleostei","Osteichthyes"
"365",248,"Stomiidae",NA,NA,NA,"Stomiidae","Stomiiformes","Teleostei","Osteichthyes"
"366",249,"Cyclopteridae",NA,NA,NA,"Cyclopteridae","Perciformes/Cottoidei","Teleostei","Osteichthyes"
"367",252,"Sternoptychidae",NA,NA,NA,"Sternoptychidae","Stomiiformes","Teleostei","Osteichthyes"
"368",267,"Zoarcidae",NA,NA,NA,"Zoarcidae","Perciformes/Zoarcoidei","Teleostei","Osteichthyes"
"369",390,"Congridae",NA,NA,NA,"Congridae","Anguilliformes","Teleostei","Osteichthyes"
"370",399,"Echiophis sp",NA,"Echiophis","Ophichthinae","Ophichthidae","Anguilliformes","Teleostei","Osteichthyes"
"371",421,"Syngnathidae",NA,NA,NA,"Syngnathidae","Syngnathiformes","Teleostei","Osteichthyes"
"372",422,"Caproidae",NA,NA,NA,"Caproidae","Acanthuriformes","Teleostei","Osteichthyes"
"373",423,"Atherinidae",NA,NA,NA,"Atherinidae","Atheriniformes","Teleostei","Osteichthyes"
"374",425,"Ophichthidae",NA,NA,NA,"Ophichthidae","Anguilliformes","Teleostei","Osteichthyes"
"375",452,"Ogcocephalidae",NA,NA,NA,"Ogcocephalidae","Lophiiformes","Teleostei","Osteichthyes"
"376",461,"Ophidiidae",NA,NA,NA,"Ophidiidae","Ophidiiformes","Teleostei","Osteichthyes"
"377",490,"Fistularia sp",NA,"Fistularia",NA,"Fistulariidae","Syngnathiformes","Teleostei","Osteichthyes"
"378",554,"Serranidae",NA,NA,NA,"Serranidae","Perciformes/Serranoidei","Teleostei","Osteichthyes"
"379",582,"Carangidae",NA,NA,NA,"Carangidae","Carangiformes","Teleostei","Osteichthyes"
"380",597,"Lutjanidae",NA,NA,NA,"Lutjanidae","Eupercaria/misc","Teleostei","Osteichthyes"
"381",600,"Squalidae",NA,NA,NA,"Squalidae","Squaliformes","Elasmobranchii","Chondrichthyes"
"382",620,"Sphyraena sp",NA,"Sphyraena",NA,"Sphyraenidae","Carangaria/misc","Teleostei","Osteichthyes"
"383",625,"Gerreidae",NA,NA,NA,"Gerreidae","Eupercaria/misc","Teleostei","Osteichthyes"
"384",630,"Haemulidae",NA,NA,NA,"Haemulidae","Eupercaria/misc","Teleostei","Osteichthyes"
"385",643,"Sparidae",NA,NA,NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"386",683,"Labridae",NA,NA,NA,"Labridae","Eupercaria/misc","Teleostei","Osteichthyes"
"387",733,"Blenniidae",NA,NA,NA,"Blenniidae","Blenniiformes","Teleostei","Osteichthyes"
"388",739,"Gobiidae",NA,NA,NA,"Gobiidae","Gobiiformes","Teleostei","Osteichthyes"
"389",759,"Scorpaenidae",NA,NA,NA,"Scorpaenidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"390",773,"Pleuronectidae",NA,NA,NA,"Pleuronectidae","Pleuronectiformes","Teleostei","Osteichthyes"
"391",794,"Etropus sp",NA,"Etropus",NA,"Cyclopsettidae","Pleuronectiformes","Teleostei","Osteichthyes"
"392",795,"Bothidae",NA,NA,NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes"
"393",820,"Balistidae",NA,NA,NA,"Balistidae","Tetraodontiformes","Teleostei","Osteichthyes"
"394",822,"Trichiuridae",NA,NA,NA,"Trichiuridae","Scombriformes","Teleostei","Osteichthyes"
"395",851,"Engraulidae",NA,NA,NA,"Engraulidae","Clupeiformes","Teleostei","Osteichthyes"
"396",855,"Chaetodontidae",NA,NA,NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes"
"397",857,"Uranoscopidae",NA,NA,NA,"Uranoscopidae","Perciformes/Uranoscopoidei","Teleostei","Osteichthyes"
"398",858,"Sciaenidae",NA,NA,NA,"Sciaenidae","Eupercaria/misc","Teleostei","Osteichthyes"
"399",860,"Scombridae",NA,NA,NA,"Scombridae","Scombriformes","Teleostei","Osteichthyes"
"400",861,"Tetraodontidae",NA,NA,NA,"Tetraodontidae","Tetraodontiformes","Teleostei","Osteichthyes"
"401",866,"Citharichthys sp",NA,"Citharichthys",NA,"Cyclopsettidae","Pleuronectiformes","Teleostei","Osteichthyes"
"402",887,"Gonostomatidae",NA,NA,NA,"Gonostomatidae","Stomiiformes","Teleostei","Osteichthyes"
"403",896,"Paralepidae",NA,NA,NA,"Paralepididae","Aulopiformes","Teleostei","Osteichthyes"
"404",900,"Lophiiformes",NA,NA,NA,NA,"Lophiiformes","Teleostei","Osteichthyes"
